metric,value,source_file,notes
raw_boamp_notices,3181,data/processed/boamp_full_clean.csv,csv.DictReader row count; wc -l reports 3189 due to multi-line quoted fields
appel_offre_source_contracts,1933,data/processed/boamp_full_clean.csv,nature == APPEL_OFFRE
attribution_notices,1081,data/processed/boamp_full_clean.csv,nature == ATTRIBUTION
eligible_survival_population,1100,boamp_renewal_linking_quality/outputs/boamp_linking_stats.csv,eligible_ao
linked_proxy_renewal_events,705,data/processed/boamp_phase2_survival.csv,event == 1
right_censored_contracts,395,data/processed/boamp_phase2_survival.csv,event == 0
linking_rate_eligible_pct,64.1,boamp_renewal_linking_quality/outputs/boamp_linking_stats.csv,705/1100 = 64.09%
linking_rate_all_ao_pct,36.5,boamp_renewal_linking_quality/outputs/boamp_linking_stats.csv,705/1933
lexical_baseline_linking_rate_pct,11.3,internship/phase1 reports,retained for comparison
single_candidate_matches,133,data/processed/boamp_phase2_survival.csv,single_candidate_match==True among 705 events
multi_candidate_links,572,data/processed/boamp_phase2_survival.csv,705 - 133
ambiguous_margin_lt_0.05,265,data/processed/boamp_phase2_survival.csv,46.3% of 572 multi-candidate events
strict_high_confidence_multi,100,data/processed/boamp_phase2_survival.csv,high_confidence_strict==True (multi-candidate only)
strict_high_confidence_incl_single,116,validation_robustness/outputs/threshold_sensitivity_summary.csv,S>=0.70 AND margin>=0.05 including single-candidate
composite_score_mean_events,0.5872,data/processed/boamp_phase2_survival.csv,mean composite_score over 705 events
composite_score_median_events,0.5576,data/processed/boamp_phase2_survival.csv,median composite_score over 705 events
score_tier_HIGH_ge_0.70,148,data/processed/boamp_phase2_survival.csv,21.0% of 705 events (composite >= 0.70)
score_tier_MED_0.50_0.70,349,data/processed/boamp_phase2_survival.csv,49.5% of 705 events
score_tier_LOW_lt_0.50,208,data/processed/boamp_phase2_survival.csv,29.5% of 705 events
km_median_survival_months,48.2,validation_robustness/outputs/threshold_sensitivity_summary.csv,baseline row
cox_c_index_baseline_sweep,0.6536,validation_robustness/outputs/threshold_sensitivity_summary.csv,reduced 3-covariate Cox used across sensitivity sweep; sensitivity_comparison.csv now also 0.6536
cox_c_index_baseline_fullmodel,0.6541,notebooks/02_survival_modeling_boamp.ipynb,headline full multivariate Cox (adds category + procedure dummies)
cox_hr_declared_duration,0.9905,reports/tables/survival/cox_multivariate_results.csv,p<0.001 significant
cox_hr_start_year,1.0965,reports/tables/survival/cox_multivariate_results.csv,p<0.001 significant
aft_lognormal_aic,7176.55,reports/tables/survival/parametric_aic_comparison.csv,best parametric model
aft_lognormal_concordance,0.6719,reports/tables/survival/parametric_aic_comparison.csv,
aft_loglogistic_aic,7248.78,reports/tables/survival/parametric_aic_comparison.csv,
aft_loglogistic_concordance,0.6766,reports/tables/survival/parametric_aic_comparison.csv,
aft_weibull_aic,7380.26,reports/tables/survival/parametric_aic_comparison.csv,
aft_weibull_concordance,0.6352,reports/tables/survival/parametric_aic_comparison.csv,
threshold_score_ge_0.50_events,497,validation_robustness/outputs/threshold_sensitivity_summary.csv,Model B population
threshold_score_ge_0.50_km_median,52.8,validation_robustness/outputs/threshold_sensitivity_summary.csv,CANONICAL Model B value (chosen by user over 0.6061/inf)
threshold_score_ge_0.50_cox_c,0.645,validation_robustness/outputs/threshold_sensitivity_summary.csv,CANONICAL Model B value
threshold_score_ge_0.80_cox_c,0.5346,validation_robustness/outputs/threshold_sensitivity_summary.csv,lowest C-index in sweep
threshold_score_ge_0.90_cox_c,0.5503,validation_robustness/outputs/threshold_sensitivity_summary.csv,
model_c_strict_hc_events,100,validation_robustness/outputs/uncertain_link_exclusion_summary.csv,strict_hc_only
model_c_strict_hc_cox_c,0.6333,validation_robustness/outputs/uncertain_link_exclusion_summary.csv,
exclude_uncertain_events,372,validation_robustness/outputs/uncertain_link_exclusion_summary.csv,N=767
exclude_uncertain_km_median,54.8,validation_robustness/outputs/uncertain_link_exclusion_summary.csv,
exclude_uncertain_cox_c,0.6012,validation_robustness/outputs/uncertain_link_exclusion_summary.csv,
placebo_real_mean_score,0.5872,validation_robustness/outputs/placebo_check_summary.csv,real_links
placebo_real_median_score,0.5576,validation_robustness/outputs/placebo_check_summary.csv,
placebo_real_pct_ge_0.70,21.0,validation_robustness/outputs/placebo_check_summary.csv,CANONICAL (replaces stale 19.1/17.5)
placebo_runner_up_n,4814,validation_robustness/outputs/placebo_check_summary.csv,
placebo_runner_up_mean_score,0.4388,validation_robustness/outputs/placebo_check_summary.csv,
placebo_runner_up_pct_ge_0.70,1.2,validation_robustness/outputs/placebo_check_summary.csv,
placebo_synthetic_mean_score,0.4336,validation_robustness/outputs/placebo_check_summary.csv,
placebo_synthetic_pct_ge_0.70,7.1,validation_robustness/outputs/placebo_check_summary.csv,
siren_enrichment_date,2026-06-24,buyer_siren_enrichment/outputs/,API Recherche d'Entreprises
siren_eligible_with_siren_key,660,data/processed/boamp_phase2_survival_siren_enriched.csv,buyer_key_enriched startswith SIREN:
siren_eligible_with_name_key,440,data/processed/boamp_phase2_survival_siren_enriched.csv,buyer_key_enriched startswith NAME:
siren_unique_buyers_queried,525,buyer_siren_enrichment/outputs/enrichment_quality_summary.csv,
